Objekt,Cleaning1,Cleaning1Frequency,Cleaning1LastDate,Cleaning1NextDate,Cleaning2,Cleaning2Frequency,Cleaning2LastDate,Cleaning2NextDate,Area,Typ,MoveBothObjects,WillBeEmailed,PufNamn,Active
JT 64,Lutdisk,14,2018-10-22,2018-11-05,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=64,
JT 55,Lutdisk,14,2018-08-29,2018-09-12,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=55,
JT 65,Lutdisk,14,2018-08-03,2018-08-17,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=65,
JT 67,Lutdisk,14,2018-10-09,2018-10-23,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=67,
JT 66,Lutdisk,14,2018-09-29,2018-10-13,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=66,
JT 68,Lutdisk,14,2018-11-02,2018-11-16,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=68,
JT 69,Lutdisk,14,2018-10-15,2018-10-29,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=69,
JT 70,Lutdisk,14,2018-09-24,2018-10-08,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=70,
JT 71,Lutdisk,14,2018-08-12,2018-08-26,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=71,
JT 73,Lutdisk,14,2018-10-22,2018-11-05,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=73,
JT 72,Lutdisk,14,2018-10-26,2018-11-09,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=72,
JT 74,Lutdisk,14,2018-10-08,2018-10-22,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=74,
JT 75,Lutdisk,14,2018-09-13,2018-09-27,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=75,
JT 76,Lutdisk,14,2018-06-27,2018-07-11,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=76,
JT 77,Lutdisk,14,2018-10-22,2018-11-05,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=77,
JT 79,Lutdisk,14,2018-07-30,2018-08-13,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=79,
JT 82,Lutdisk,14,2018-10-09,2018-10-23,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=82,
JT 84,Lutdisk,14,2018-08-24,2018-09-07,,,,,Jäskällaren,Vanlig,FALSE,FALSE,SUB_OBJECT=84,
