Objekt	Date	CleaningType
Maltax	2017-05-12	Rengjord
Aldox	2017-05-12	Syradisk
T34	2017-05-12	Lutdisk
301 Vattentank	2017-05-12	Lutdisk
302 Vattentank	2017-05-12	Lutdisk
303 Vattentank	2017-05-12	Lutdisk
BBT 309	2017-05-12	Syradisk
BBT 315	2017-05-15	Syradisk
BBT 311	2017-05-15	Lutdisk
BBT 318	2017-05-15	Syradisk
BBT 320	2017-05-16	Lutdisk
BBT 321	2017-05-16	Syradisk
BBT 317	2017-05-16	Lutdisk
BBT 304	2017-05-16	Lutdisk
BBT 324	2017-05-17	Syradisk
BBT 325	2017-05-17	Syradisk
BBT 322	2017-05-17	Syradisk
T34	2017-05-17	Lutdisk
Filtret	2017-05-17	Rengjord
BBT 307	2017-05-18	Syradisk
BBT 306	2017-05-18	Syradisk
BBT 309	2017-05-18	Syradisk
BBT 316	2017-05-19	Syradisk
BBT 320	2017-05-19	Syradisk
BBT 305	2017-05-19	Lutdisk
BBT 308	2017-05-19	Lutdisk
T34	2017-05-19	Syradisk
T45	2017-05-19	Syradisk
Maltax	2017-05-19	Rengjord
Aldox	2017-05-20	Syradisk
BBT 312	2017-05-21	Lutdisk
BBT 313	2017-05-21	Lutdisk
BBT 317	2017-05-22	Syradisk
T34	2017-05-22	Syradisk
BBT 322	2017-05-22	Syradisk
BBT 323	2017-05-23	Syradisk
BBT 311	2017-05-23	Syradisk
BBT 314	2017-05-23	Lutdisk
BBT 320	2017-05-23	Syradisk
Aldox	2017-05-23	Syradisk
T34	2017-05-23	Syradisk
BBT 304	2017-05-24	Syradisk
BBT 318	2017-05-24	Lutdisk
BBT 306	2017-05-25	Lutdisk
BBT 315	2017-05-26	Lutdisk
BBT 312	2017-05-28	Syradisk
BBT 309	2017-05-28	Lutdisk
BBT 307	2017-05-28	Lutdisk
BBT 304	2017-05-28	Syradisk
BBT 318	2017-05-29	Syradisk
BBT 310	2017-05-29	Lutdisk
BBT 323	2017-05-29	Lutdisk
BBT 308	2017-05-29	Syradisk
BBT 315	2017-05-29	Syradisk
BBT 312	2017-05-30	Syradisk
BBT 314	2017-05-30	Syradisk
BBT 311	2017-05-30	Syradisk
BBT 317	2017-05-30	Syradisk
